H1             H2             H3             H4             H5             H6             H7             H8             H10            H11            H13            H14            H15            H16            H17            H18            
0              0              0              0              0              0              0              0              5              0              0              0              0              1              0              0              
0              0              5              0              0              0              0              -              6              -              0              -              -              0              -              0              
3              0              0              0              0              0              0              -              2              -              -              -              -              -              -              -              
0              0              5              0              0              0              0              -              6              -              -              -              -              -              -              -              
3              0              2              2              0              0              0              -              0              -              -              -              -              -              -              -              
0              0              4              -              0              0              0              -              0              -              -              -              -              -              -              -              
0              0              5              -              0              0              0              -              0              -              -              -              -              -              -              -              
3              0              3              -              0              0              0              -              0              -              -              -              -              -              -              -              
0              0              7              -              0              0              0              -              0              -              -              -              -              -              -              -              
0              0              3              -              0              0              0              -              2              -              -              -              -              -              -              -              
0              0              4              -              0              0              0              -              0              -              -              -              -              -              -              -              
0              0              2              -              0              0              0              -              0              -              -              -              -              -              -              -              
0              0              3              -              0              0              0              -              0              -              -              -              -              -              -              -              
0              0              1              -              0              0              0              -              0              -              -              -              -              -              -              -              
0              0              0              -              0              0              0              -              1              -              -              -              -              -              -              -              
3              0              2              -              1              0              0              -              2              -              -              -              -              -              -              -              
0              -              0              -              0              0              0              -              0              -              -              -              -              -              -              -              
2              -              2              -              0              -              0              -              0              -              -              -              -              -              -              -              
0              -              3              -              0              -              0              -              0              -              -              -              -              -              -              -              
0              -              4              -              0              -              0              -              0              -              -              -              -              -              -              -              
0              -              10             -              0              -              0              -              8              -              -              -              -              -              -              -              
3              -              7              -              0              -              0              -              5              -              -              -              -              -              -              -              
0              -              0              -              0              -              0              -              4              -              -              -              -              -              -              -              
0              -              0              -              0              -              0              -              3              -              -              -              -              -              -              -              
0              -              0              -              0              -              -              -              5              -              -              -              -              -              -              -              
5              -              3              -              0              -              -              -              3              -              -              -              -              -              -              -              
0              -              0              -              0              -              -              -              3              -              -              -              -              -              -              -              
3              -              0              -              0              -              -              -              2              -              -              -              -              -              -              -              
0              -              0              -              0              -              -              -              4              -              -              -              -              -              -              -              
7              -              0              -              0              -              -              -              4              -              -              -              -              -              -              -              
3              -              9              -              0              -              -              -              8              -              -              -              -              -              -              -              
0              -              4              -              0              -              -              -              3              -              -              -              -              -              -              -              
0              -              0              -              0              -              -              -              5              -              -              -              -              -              -              -              
0              -              7              -              0              -              -              -              0              -              -              -              -              -              -              -              
0              -              0              -              0              -              -              -              3              -              -              -              -              -              -              -              
0              -              0              -              0              -              -              -              5              -              -              -              -              -              -              -              
0              -              4              -              0              -              -              -              -              -              -              -              -              -              -              -              
0              -              0              -              0              -              -              -              -              -              -              -              -              -              -              -              
0              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              12             -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              7              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              1              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              6              -              -              -              -              -              -              -              -              -              -              -              -              -              
0              -              5              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              2              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              3              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              4              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              0              -              -              -              -              -              -              -              -              -              -              -              -              -              
-              -              -              
